,,ナビデータ中身
2019/11/10,12:04:33,CVGPSR001FC01000542000502037461970140293275+067012730722-04070120432114
2019/11/10,12:04:34,CVGPSR001FC01000543000503037461935140293356+061015930880-04070120433114
2019/11/10,12:04:35,CVGPSR001FC01000544000504037461945140293343+061017030965-04070120434114
2019/11/10,12:04:36,CVGPSR001FC01000544000504037461956140293328+061017331024-04070120435114
2019/11/10,12:04:37,CVGPSR001FC01000544000504037461967140293315+060017731123-04070120436114
2019/11/10,12:04:38,CVGPSR001FC01000545000505037461979140293300+060018431203-04070120437114
2019/11/10,12:04:39,CVGPSR001FC01000545000505037461992140293284+061019131180-04070120438114
2019/11/10,12:04:40,CVGPSR001FC01000550000510037462004140293268+061019431139-04070120439114
2019/11/10,12:04:41,CVGPSR001FC01000555000515037462017140293253+061019231118-04070120440114
2019/11/10,12:04:42,CVGPSR001FC01000560000520037462031140293237+061018831096-04070120441114
2019/11/10,12:04:43,CVGPSR001FC01000565000525037462043140293221+061018331091-04070120442114
2019/11/10,12:04:44,CVGPSR001FC01000569000529037462054140293206+061017931122-04070120443114
2019/11/10,12:04:45,CVGPSR001FC01000574000534037462065140293193+061017531145-04070120444114
2019/11/10,12:04:46,CVGPSR001FC01000584000544037462078140293178+061017231139-04070120445114
2019/11/10,12:04:47,CVGPSR001FC01000588000548037462089140293165+061016931017-04070120446114
2019/11/10,12:04:48,CVGPSR001FC01000589000549037462100140293153+061017230851-04070120447114
2019/11/10,12:04:49,CVGPSR001FC01000594000554037462110140293137+061017730635-04070120448114
2019/11/10,12:04:50,CVGPSR001FC01000605000565037462121140293118+061018230362-04070120449114
2019/11/10,12:04:51,CVGPSR001FC01000610000570037462131140293103+061018630056-04070120450114
2019/11/10,12:04:52,CVGPSR001FC01000615000575037462142140293084+061018929750-04070120451114
2019/11/10,12:04:53,CVGPSR001FC01000620000580037462150140293068+061019129574-04070120452114
2019/11/10,12:04:54,CVGPSR001FC01000625000585037462159140293046+062019329491-04070120453114
